rank,title,ratings,rating_num,meta
239,明朝那些事儿（柒）：大结局,9.0,22075,当年明月 / 中国海关出版社 / 2009年 / 29.80元
240,拆掉思维里的墙,8.0,23871,古典 / 中国书店 / 2010-9 / 29.80元
241,皮囊,7.8,24451,蔡崇达 / 天津人民出版社 / 2014-12-1 / 39.80元
242,ZOO,8.6,22606,[日] 乙一 / 李颖秋 / 当代世界出版社 / 2007-10 / 20.00元
243,樱桃之远,7.5,24904,张悦然 / 春风文艺出版社 / 2004-01 / 23.00元
244,生活在别处,8.3,23019,[捷克] 米兰·昆德拉 / 袁筱一 / 上海译文出版社 / 2004-5 / 25.00元
245,明朝那些事儿（陆）,8.9,22038,当年明月 / 中国海关出版社 / 2008-11 / 28.80
246,无声告白,8.2,23854,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元
247,傲慢与偏见,9.0,21630,[英] 奥斯丁 / 王科一 / 上海译文出版社 / 1996-12 / 11.00元
248,世界因你不同,8.1,23153,李开复 / 中信出版社 / 2009-9 / 29.80元
249,失落的秘符,7.5,24336,[美] 丹·布朗 / 朱振武 / 人民文学出版社 / 2010-1 / 38.00元
250,盗墓笔记6,8.5,22415,南派三叔 / 中国友谊出版公司 / 2010-1 / 32.80元
